Format,Metric,Year,Value
CD Single,Value,1985,
CD Single,Value,1986,
CD Single,Value,1987,
CD Single,Value,1988,9.8
CD Single,Value,1989,-0.7
CD Single,Value,1990,6
CD Single,Value,1991,35.1
CD Single,Value,1992,45.1
CD Single,Value,1993,45.8
CD Single,Value,1994,56.1
CD Single,Value,1995,110.9
CD Single,Value,1996,184.1
CD Single,Value,1997,272.7
CD Single,Value,1998,213.2
CD Single,Value,1999,222.4
CD Single,Value,2000,142.7
CD Single,Value,2001,79.4
CD Single,Value,2002,19.6
CD Single,Value,2003,36
CD Single,Value,2004,15
CD Single,Value,2005,10.9
CD Single,Value,2006,7.7
CD Single,Value,2007,12.2
CD Single,Value,2008,3.5
CD Single,Value,2009,3.1
CD Single,Value,2010,2.9
CD Single,Value,2011,3.5
CD Single,Value,2012,3.225092945
CD Single,Value,2013,2.445737226
CD Single,Value,2014,3.616015547
CD Single,Value,2015,1.19694661
CD Single,Value,2016,0.263199082
CD Single,Value,2017,1.478694184
CD Single,Value,2018,0.15516984
CD Single,Value,2019,0.181678878
Cassette,Value,1973,76
Cassette,Value,1974,87.2
Cassette,Value,1975,98.8
Cassette,Value,1976,145.7
Cassette,Value,1977,249.6
Cassette,Value,1978,449.8
Cassette,Value,1979,580.6
Cassette,Value,1980,705
Cassette,Value,1981,"1,062.80"
Cassette,Value,1982,"1,384.50"
Cassette,Value,1983,"1,810.90"
Cassette,Value,1984,"2,383.90"
Cassette,Value,1985,"2,411.50"
Cassette,Value,1986,"2,499.50"
Cassette,Value,1987,"2,959.70"
Cassette,Value,1988,"3,385.10"
Cassette,Value,1989,"3,345.80"
Cassette,Value,1990,"3,472.40"
Cassette,Value,1991,"3,019.60"
Cassette,Value,1992,"3,116.30"
Cassette,Value,1993,"2,915.80"
Cassette,Value,1994,"2,976.40"
Cassette,Value,1995,"2,303.60"
Cassette,Value,1996,"1,905.30"
Cassette,Value,1997,"1,522.70"
Cassette,Value,1998,"1,419.90"
Cassette,Value,1999,"1,061.60"
Cassette,Value,2000,626
Cassette,Value,2001,363.4
Cassette,Value,2002,209.8
Cassette,Value,2003,108.1
Cassette,Value,2004,23.7
Cassette,Value,2005,13.1
Cassette,Value,2006,3.7
Cassette,Value,2007,3
Cassette,Value,2008,0.9
Cassette,Value,2009,0
Cassette,Value,2010,
Cassette,Value,2011,
Cassette,Value,2012,
Cassette,Value,2013,
Cassette,Value,2014,
Cassette,Value,2015,
Cassette,Value,2016,
Cassette,Value,2017,
Cassette,Value,2018,
Cassette,Value,2019,
Cassette Single,Value,1973,
Cassette Single,Value,1974,
Cassette Single,Value,1975,
Cassette Single,Value,1976,
Cassette Single,Value,1977,
Cassette Single,Value,1978,
Cassette Single,Value,1979,
Cassette Single,Value,1980,
Cassette Single,Value,1981,
Cassette Single,Value,1982,
Cassette Single,Value,1983,
Cassette Single,Value,1984,
Cassette Single,Value,1985,
8 - Track,Value,1973,489
8 - Track,Value,1974,549.2
8 - Track,Value,1975,583
8 - Track,Value,1976,678.2
8 - Track,Value,1977,811
8 - Track,Value,1978,948
8 - Track,Value,1979,684.3
8 - Track,Value,1980,527
8 - Track,Value,1981,313
8 - Track,Value,1982,36
8 - Track,Value,1983,
8 - Track,Value,1984,
8 - Track,Value,1985,
8 - Track,Value,1986,
8 - Track,Value,1987,
8 - Track,Value,1988,
8 - Track,Value,1989,
8 - Track,Value,1990,
8 - Track,Value,1991,
8 - Track,Value,1992,
8 - Track,Value,1993,
8 - Track,Value,1994,
8 - Track,Value,1995,
8 - Track,Value,1996,
8 - Track,Value,1997,
8 - Track,Value,1998,
8 - Track,Value,1999,
8 - Track,Value,2000,
8 - Track,Value,2001,
8 - Track,Value,2002,
8 - Track,Value,2003,
8 - Track,Value,2004,
8 - Track,Value,2005,
8 - Track,Value,2006,
8 - Track,Value,2007,
8 - Track,Value,2008,
8 - Track,Value,2009,
8 - Track,Value,2010,
8 - Track,Value,2011,
8 - Track,Value,2012,
8 - Track,Value,2013,
8 - Track,Value,2014,
8 - Track,Value,2015,
8 - Track,Value,2016,
8 - Track,Value,2017,
8 - Track,Value,2018,
8 - Track,Value,2019,
Cassette Single,Value,1986,
Cassette Single,Value,1987,14.3
Cassette Single,Value,1988,57.3
Cassette Single,Value,1989,194.6
Cassette Single,Value,1990,257.9
Cassette Single,Value,1991,230.4
Cassette Single,Value,1992,298.8
Cassette Single,Value,1993,298.5
Cassette Single,Value,1994,274.9
Cassette Single,Value,1995,236.3
Cassette Single,Value,1996,189.3
Cassette Single,Value,1997,133.5
Cassette Single,Value,1998,94.4
Cassette Single,Value,1999,48
Cassette Single,Value,2000,4.6
Cassette Single,Value,2001,-5.3
Cassette Single,Value,2002,-1.6
Cassette Single,Value,2003,
Cassette Single,Value,2004,
Cassette Single,Value,2005,
Cassette Single,Value,2006,
Cassette Single,Value,2007,
Cassette Single,Value,2008,
Cassette Single,Value,2009,
Cassette Single,Value,2010,
Cassette Single,Value,2011,
Cassette Single,Value,2012,
Cassette Single,Value,2013,
Cassette Single,Value,2014,
Cassette Single,Value,2015,
Cassette Single,Value,2016,
Cassette Single,Value,2017,
Cassette Single,Value,2018,
Cassette Single,Value,2019,
DVD Audio,Value,1973,
DVD Audio,Value,1974,
DVD Audio,Value,1975,
DVD Audio,Value,1976,
DVD Audio,Value,1977,
DVD Audio,Value,1978,
DVD Audio,Value,1979,
DVD Audio,Value,1980,
DVD Audio,Value,1981,
DVD Audio,Value,1982,
DVD Audio,Value,1983,
DVD Audio,Value,1984,
DVD Audio,Value,1985,
DVD Audio,Value,1986,
DVD Audio,Value,1987,
DVD Audio,Value,1988,
DVD Audio,Value,1989,
DVD Audio,Value,1990,
DVD Audio,Value,1991,
DVD Audio,Value,1992,
DVD Audio,Value,1993,
DVD Audio,Value,1994,
DVD Audio,Value,1995,
DVD Audio,Value,1996,
DVD Audio,Value,1997,
DVD Audio,Value,1998,
DVD Audio,Value,1999,
DVD Audio,Value,2000,
DVD Audio,Value,2001,6
DVD Audio,Value,2002,8.5
DVD Audio,Value,2003,8
DVD Audio,Value,2004,6.5
DVD Audio,Value,2005,11.2
DVD Audio,Value,2006,2.4
DVD Audio,Value,2007,2.8
DVD Audio,Value,2008,1.2
DVD Audio,Value,2009,1.6
DVD Audio,Value,2010,0.9
DVD Audio,Value,2011,0.3
DVD Audio,Value,2012,0.183106992
DVD Audio,Value,2013,-0.495804191
DVD Audio,Value,2014,2.139460944
DVD Audio,Value,2015,5.416232673
DVD Audio,Value,2016,2.83553587
DVD Audio,Value,2017,2.606840648
DVD Audio,Value,2018,3.317383752
DVD Audio,Value,2019,1.067303184
Download Album,Value,1973,
Download Album,Value,1974,
Download Album,Value,1975,
Download Album,Value,1976,
Download Album,Value,1977,
Download Album,Value,1978,
Download Album,Value,1979,
Download Album,Value,1980,
Download Album,Value,1981,
Download Album,Value,1982,
Download Album,Value,1983,
Download Album,Value,1984,
Download Album,Value,1985,
Download Album,Value,1986,
Download Album,Value,1987,
Download Album,Value,1988,
Download Album,Value,1989,
Download Album,Value,1990,
Download Album,Value,1991,
Download Album,Value,1992,
Download Album,Value,1993,
Download Album,Value,1994,
Download Album,Value,1995,
Download Album,Value,1996,
Download Album,Value,1997,
Download Album,Value,1998,
Download Album,Value,1999,
Download Album,Value,2000,
Download Album,Value,2001,
Download Album,Value,2002,
Download Album,Value,2003,
Download Album,Value,2004,45.5
Download Album,Value,2005,135.7
Download Album,Value,2006,275.9
Download Album,Value,2007,497.4
Download Album,Value,2008,635.3
Download Album,Value,2009,744.3
Download Album,Value,2010,872.4
Download Album,Value,2011,"1,070.80"
Download Album,Value,2012,"1,204.82"
Download Album,Value,2013,"1,232.14"
Download Album,Value,2014,"1,117.90"
Download Album,Value,2015,"1,064.43"
Download Album,Value,2016,868.5942684
Download Album,Value,2017,668.5007059
Download Album,Value,2018,499.6508324
Download Album,Value,2019,394.5330062
Download Music Video,Value,1973,
Download Music Video,Value,1974,
Download Music Video,Value,1975,
Download Music Video,Value,1976,
Download Music Video,Value,1977,
Download Music Video,Value,1978,
Download Music Video,Value,1979,
Download Music Video,Value,1980,
Download Music Video,Value,1981,
Download Music Video,Value,1982,
Download Music Video,Value,1983,
Download Music Video,Value,1984,
Download Music Video,Value,1985,
Download Music Video,Value,1986,
Download Music Video,Value,1987,
Download Music Video,Value,1988,
Download Music Video,Value,1989,
Download Music Video,Value,1990,
Download Music Video,Value,1991,
Download Music Video,Value,1992,
Download Music Video,Value,1993,
Download Music Video,Value,1994,
Download Music Video,Value,1995,
Download Music Video,Value,1996,
Download Music Video,Value,1997,
Download Music Video,Value,1998,
Download Music Video,Value,1999,
Download Music Video,Value,2000,
Download Music Video,Value,2001,
Download Music Video,Value,2002,
Download Music Video,Value,2003,
Download Music Video,Value,2004,
Download Music Video,Value,2005,3.7
Download Music Video,Value,2006,19.7
Download Music Video,Value,2007,28.2
Download Music Video,Value,2008,41.3
Download Music Video,Value,2009,40.9
Download Music Video,Value,2010,36.6
Download Music Video,Value,2011,32.4
Download Music Video,Value,2012,20.842242
Download Music Video,Value,2013,16.740803
Download Music Video,Value,2014,13.577058
Download Music Video,Value,2015,6.414419
Download Music Video,Value,2016,4.26940012
Download Music Video,Value,2017,2.785780489
Download Music Video,Value,2018,2.2208106
Download Music Video,Value,2019,1.858910402
Download Single,Value,1973,
Download Single,Value,1974,
Download Single,Value,1975,
Download Single,Value,1976,
Download Single,Value,1977,
Download Single,Value,1978,
Download Single,Value,1979,
Download Single,Value,1980,
Download Single,Value,1981,
Download Single,Value,1982,
Download Single,Value,1983,
Download Single,Value,1984,
Download Single,Value,1985,
Download Single,Value,1986,
Download Single,Value,1987,
Download Single,Value,1988,
Download Single,Value,1989,
Download Single,Value,1990,
Download Single,Value,1991,
Download Single,Value,1992,
Download Single,Value,1993,
Download Single,Value,1994,
Download Single,Value,1995,
Download Single,Value,1996,
Download Single,Value,1997,
Download Single,Value,1998,
Download Single,Value,1999,
Download Single,Value,2000,
Download Single,Value,2001,
Download Single,Value,2002,
Download Single,Value,2003,
Download Single,Value,2004,138
Download Single,Value,2005,363.3
Download Single,Value,2006,580.6
Download Single,Value,2007,811
Download Single,Value,2008,"1,032.20"
Download Single,Value,2009,"1,172"
Download Single,Value,2010,"1,336.40"
Download Single,Value,2011,"1,522.40"
Download Single,Value,2012,"1,644.57"
Download Single,Value,2013,"1,573.42"
Download Single,Value,2014,"1,355.33"
Download Single,Value,2015,"1,185.24"
Download Single,Value,2016,900.1814811
Download Single,Value,2017,678.5248883
Download Single,Value,2018,490.4304887
Download Single,Value,2019,414.804251
Kiosk,Value,1973,
Kiosk,Value,1974,
Kiosk,Value,1975,
Kiosk,Value,1976,
Kiosk,Value,1977,
Kiosk,Value,1978,
Kiosk,Value,1979,
Kiosk,Value,1980,
Kiosk,Value,1981,
Kiosk,Value,1982,
Kiosk,Value,1983,
Kiosk,Value,1984,
Kiosk,Value,1985,
Kiosk,Value,1986,
Kiosk,Value,1987,
Kiosk,Value,1988,
Kiosk,Value,1989,
Kiosk,Value,1990,
Kiosk,Value,1991,
Kiosk,Value,1992,
Kiosk,Value,1993,
Kiosk,Value,1994,
Kiosk,Value,1995,
Kiosk,Value,1996,
Kiosk,Value,1997,
Kiosk,Value,1998,
Kiosk,Value,1999,
Kiosk,Value,2000,
Kiosk,Value,2001,
Kiosk,Value,2002,
Kiosk,Value,2003,
Kiosk,Value,2004,
Kiosk,Value,2005,1
Kiosk,Value,2006,1.9
Kiosk,Value,2007,2.6
Kiosk,Value,2008,2.6
Kiosk,Value,2009,6.3
Kiosk,Value,2010,6.4
Kiosk,Value,2011,2.7
Kiosk,Value,2012,3.654065
Kiosk,Value,2013,6.183604
Kiosk,Value,2014,2.582636
Kiosk,Value,2015,3.700455
Kiosk,Value,2016,2.943916801
Kiosk,Value,2017,2.25474315
Kiosk,Value,2018,1.965045799
Kiosk,Value,2019,1.586470587
LP/EP,Value,1973,"1,246"
LP/EP,Value,1974,"1,356"
LP/EP,Value,1975,"1,485"
LP/EP,Value,1976,"1,663"
LP/EP,Value,1977,"2,195.10"
LP/EP,Value,1978,"2,473.30"
LP/EP,Value,1979,"2,057"
LP/EP,Value,1980,"2,200"
LP/EP,Value,1981,"2,341.70"
LP/EP,Value,1982,"1,925.10"
LP/EP,Value,1983,"1,689"
LP/EP,Value,1984,"1,548.80"
LP/EP,Value,1985,"1,280.50"
LP/EP,Value,1986,983
LP/EP,Value,1987,793.1
LP/EP,Value,1988,532.2
LP/EP,Value,1989,220.3
LP/EP,Value,1990,86.5
LP/EP,Value,1991,29.4
LP/EP,Value,1992,13.5
LP/EP,Value,1993,10.6
LP/EP,Value,1994,17.8
LP/EP,Value,1995,25.1
LP/EP,Value,1996,36.8
LP/EP,Value,1997,33.3
LP/EP,Value,1998,34
LP/EP,Value,1999,31.8
LP/EP,Value,2000,27.7
LP/EP,Value,2001,27.4
LP/EP,Value,2002,20.5
LP/EP,Value,2003,21.7
LP/EP,Value,2004,19.3
LP/EP,Value,2005,14.2
LP/EP,Value,2006,15.7
LP/EP,Value,2007,22.9
LP/EP,Value,2008,56.7
LP/EP,Value,2009,63.8
LP/EP,Value,2010,88.9
LP/EP,Value,2011,119.4
LP/EP,Value,2012,160.7230583
LP/EP,Value,2013,210.739051
LP/EP,Value,2014,243.8468483
LP/EP,Value,2015,333.3797931
LP/EP,Value,2016,355.430891
LP/EP,Value,2017,388.5111082
LP/EP,Value,2018,419.223947
LP/EP,Value,2019,497.5889208
Limited Tier Paid Subscription,Value,1973,
Limited Tier Paid Subscription,Value,1974,
Limited Tier Paid Subscription,Value,1975,
Limited Tier Paid Subscription,Value,1976,
Limited Tier Paid Subscription,Value,1977,
Limited Tier Paid Subscription,Value,1978,
Limited Tier Paid Subscription,Value,1979,
Limited Tier Paid Subscription,Value,1980,
Limited Tier Paid Subscription,Value,1981,
Limited Tier Paid Subscription,Value,1982,
Limited Tier Paid Subscription,Value,1983,
Limited Tier Paid Subscription,Value,1984,
Limited Tier Paid Subscription,Value,1985,
Limited Tier Paid Subscription,Value,1986,
Limited Tier Paid Subscription,Value,1987,
Limited Tier Paid Subscription,Value,1988,
Limited Tier Paid Subscription,Value,1989,
Limited Tier Paid Subscription,Value,1990,
Limited Tier Paid Subscription,Value,1991,
Limited Tier Paid Subscription,Value,1992,
Limited Tier Paid Subscription,Value,1993,
Limited Tier Paid Subscription,Value,1994,
Limited Tier Paid Subscription,Value,1995,
Limited Tier Paid Subscription,Value,1996,
Limited Tier Paid Subscription,Value,1997,
Limited Tier Paid Subscription,Value,1998,
Limited Tier Paid Subscription,Value,1999,
Limited Tier Paid Subscription,Value,2000,
Limited Tier Paid Subscription,Value,2001,
Limited Tier Paid Subscription,Value,2002,
Limited Tier Paid Subscription,Value,2003,
Limited Tier Paid Subscription,Value,2004,
Limited Tier Paid Subscription,Value,2005,
Limited Tier Paid Subscription,Value,2006,
Limited Tier Paid Subscription,Value,2007,
Limited Tier Paid Subscription,Value,2008,
Limited Tier Paid Subscription,Value,2009,
Limited Tier Paid Subscription,Value,2010,
Limited Tier Paid Subscription,Value,2011,
Limited Tier Paid Subscription,Value,2012,
Limited Tier Paid Subscription,Value,2013,
Limited Tier Paid Subscription,Value,2014,
Limited Tier Paid Subscription,Value,2015,
Limited Tier Paid Subscription,Value,2016,263.3636852
Limited Tier Paid Subscription,Value,2017,591.6010975
Limited Tier Paid Subscription,Value,2018,747.0549062
Limited Tier Paid Subscription,Value,2019,829.4987397
Music Video (Physical),Value,1973,
Music Video (Physical),Value,1974,
Music Video (Physical),Value,1975,
Music Video (Physical),Value,1976,
Music Video (Physical),Value,1977,
Music Video (Physical),Value,1978,
Music Video (Physical),Value,1979,
Music Video (Physical),Value,1980,
Music Video (Physical),Value,1981,
Music Video (Physical),Value,1982,
Music Video (Physical),Value,1983,
Music Video (Physical),Value,1984,
Music Video (Physical),Value,1985,
Music Video (Physical),Value,1986,
Music Video (Physical),Value,1987,
Music Video (Physical),Value,1988,
Music Video (Physical),Value,1989,115.4
Music Video (Physical),Value,1990,172.3
Music Video (Physical),Value,1991,118.1
Music Video (Physical),Value,1992,157.4
Music Video (Physical),Value,1993,213.3
Music Video (Physical),Value,1994,231.1
Music Video (Physical),Value,1995,220.3
Music Video (Physical),Value,1996,236.1
Music Video (Physical),Value,1997,323.9
Music Video (Physical),Value,1998,508
Music Video (Physical),Value,1999,376.7
Music Video (Physical),Value,2000,281.9
Music Video (Physical),Value,2001,329.2
Music Video (Physical),Value,2002,288.4
Music Video (Physical),Value,2003,399.9
Music Video (Physical),Value,2004,607.2
Music Video (Physical),Value,2005,602.2
Music Video (Physical),Value,2006,451.1
Music Video (Physical),Value,2007,484.9
Music Video (Physical),Value,2008,227.3
Music Video (Physical),Value,2009,209.6
Music Video (Physical),Value,2010,177.6
Music Video (Physical),Value,2011,151
Music Video (Physical),Value,2012,116.6136546
Music Video (Physical),Value,2013,106.2831378
Music Video (Physical),Value,2014,89.70557988
Music Video (Physical),Value,2015,70.43436396
Music Video (Physical),Value,2016,56.92290281
Music Video (Physical),Value,2017,38.619447
Music Video (Physical),Value,2018,27.5612603
Music Video (Physical),Value,2019,27.70524678
On-Demand Streaming (Ad-Supported),Value,1973,
On-Demand Streaming (Ad-Supported),Value,1974,
On-Demand Streaming (Ad-Supported),Value,1975,
On-Demand Streaming (Ad-Supported),Value,1976,
On-Demand Streaming (Ad-Supported),Value,1977,
On-Demand Streaming (Ad-Supported),Value,1978,
On-Demand Streaming (Ad-Supported),Value,1979,
On-Demand Streaming (Ad-Supported),Value,1980,
On-Demand Streaming (Ad-Supported),Value,1981,
On-Demand Streaming (Ad-Supported),Value,1982,
On-Demand Streaming (Ad-Supported),Value,1983,
On-Demand Streaming (Ad-Supported),Value,1984,
On-Demand Streaming (Ad-Supported),Value,1985,
On-Demand Streaming (Ad-Supported),Value,1986,
On-Demand Streaming (Ad-Supported),Value,1987,
On-Demand Streaming (Ad-Supported),Value,1988,
On-Demand Streaming (Ad-Supported),Value,1989,
On-Demand Streaming (Ad-Supported),Value,1990,
On-Demand Streaming (Ad-Supported),Value,1991,
On-Demand Streaming (Ad-Supported),Value,1992,
On-Demand Streaming (Ad-Supported),Value,1993,
On-Demand Streaming (Ad-Supported),Value,1994,
On-Demand Streaming (Ad-Supported),Value,1995,
On-Demand Streaming (Ad-Supported),Value,1996,
On-Demand Streaming (Ad-Supported),Value,1997,
On-Demand Streaming (Ad-Supported),Value,1998,
On-Demand Streaming (Ad-Supported),Value,1999,
On-Demand Streaming (Ad-Supported),Value,2000,
On-Demand Streaming (Ad-Supported),Value,2001,
On-Demand Streaming (Ad-Supported),Value,2002,
On-Demand Streaming (Ad-Supported),Value,2003,
On-Demand Streaming (Ad-Supported),Value,2004,
On-Demand Streaming (Ad-Supported),Value,2005,
On-Demand Streaming (Ad-Supported),Value,2006,
On-Demand Streaming (Ad-Supported),Value,2007,
On-Demand Streaming (Ad-Supported),Value,2008,
On-Demand Streaming (Ad-Supported),Value,2009,
On-Demand Streaming (Ad-Supported),Value,2010,
On-Demand Streaming (Ad-Supported),Value,2011,113.8
On-Demand Streaming (Ad-Supported),Value,2012,170.9354084
On-Demand Streaming (Ad-Supported),Value,2013,220.8735445
On-Demand Streaming (Ad-Supported),Value,2014,283.7934094
On-Demand Streaming (Ad-Supported),Value,2015,371.9903964
On-Demand Streaming (Ad-Supported),Value,2016,489.3776076
On-Demand Streaming (Ad-Supported),Value,2017,658.6064926
On-Demand Streaming (Ad-Supported),Value,2018,759.5323682
On-Demand Streaming (Ad-Supported),Value,2019,908.1493305
Other Ad-Supported Streaming,Value,1973,
Other Ad-Supported Streaming,Value,1974,
Other Ad-Supported Streaming,Value,1975,
Other Ad-Supported Streaming,Value,1976,
Other Ad-Supported Streaming,Value,1977,
Other Ad-Supported Streaming,Value,1978,
Other Ad-Supported Streaming,Value,1979,
Other Ad-Supported Streaming,Value,1980,
Other Ad-Supported Streaming,Value,1981,
Other Ad-Supported Streaming,Value,1982,
Other Ad-Supported Streaming,Value,1983,
Other Ad-Supported Streaming,Value,1984,
Other Ad-Supported Streaming,Value,1985,
Other Ad-Supported Streaming,Value,1986,
Other Ad-Supported Streaming,Value,1987,
Other Ad-Supported Streaming,Value,1988,
Other Ad-Supported Streaming,Value,1989,
Other Ad-Supported Streaming,Value,1990,
Other Ad-Supported Streaming,Value,1991,
Other Ad-Supported Streaming,Value,1992,
Other Ad-Supported Streaming,Value,1993,
Other Ad-Supported Streaming,Value,1994,
Other Ad-Supported Streaming,Value,1995,
Other Ad-Supported Streaming,Value,1996,
Other Ad-Supported Streaming,Value,1997,
Other Ad-Supported Streaming,Value,1998,
Other Ad-Supported Streaming,Value,1999,
Other Ad-Supported Streaming,Value,2000,
Other Ad-Supported Streaming,Value,2001,
Other Ad-Supported Streaming,Value,2002,
Other Ad-Supported Streaming,Value,2003,
Other Ad-Supported Streaming,Value,2004,
Other Ad-Supported Streaming,Value,2005,
Other Ad-Supported Streaming,Value,2006,
Other Ad-Supported Streaming,Value,2007,
Other Ad-Supported Streaming,Value,2008,
Other Ad-Supported Streaming,Value,2009,
Other Ad-Supported Streaming,Value,2010,
Other Ad-Supported Streaming,Value,2011,
Other Ad-Supported Streaming,Value,2012,
Other Ad-Supported Streaming,Value,2013,
Other Ad-Supported Streaming,Value,2014,
Other Ad-Supported Streaming,Value,2015,
Other Ad-Supported Streaming,Value,2016,81.26086562
Other Ad-Supported Streaming,Value,2017,261.786859
Other Ad-Supported Streaming,Value,2018,251.4119188
Other Ad-Supported Streaming,Value,2019,251.0647101
Other Digital,Value,1973,
Other Digital,Value,1974,
Other Digital,Value,1975,
Other Digital,Value,1976,
Other Digital,Value,1977,
Other Digital,Value,1978,
Other Digital,Value,1979,
Other Digital,Value,1980,
Other Digital,Value,1981,
Other Digital,Value,1982,
Other Digital,Value,1983,
Other Digital,Value,1984,
Other Digital,Value,1985,
Other Digital,Value,1986,
Other Digital,Value,1987,
Other Digital,Value,1988,
Other Digital,Value,1989,
Other Digital,Value,1990,
Other Digital,Value,1991,
Other Digital,Value,1992,
Other Digital,Value,1993,
Other Digital,Value,1994,
Other Digital,Value,1995,
Other Digital,Value,1996,
Other Digital,Value,1997,
Other Digital,Value,1998,
Other Digital,Value,1999,
Other Digital,Value,2000,
Other Digital,Value,2001,
Other Digital,Value,2002,
Other Digital,Value,2003,
Other Digital,Value,2004,
Other Digital,Value,2005,
Other Digital,Value,2006,
Other Digital,Value,2007,
Other Digital,Value,2008,
Other Digital,Value,2009,
Other Digital,Value,2010,
Other Digital,Value,2011,
Other Digital,Value,2012,
Other Digital,Value,2013,
Other Digital,Value,2014,
Other Digital,Value,2015,
Other Digital,Value,2016,17.14166287
Other Digital,Value,2017,16.88510987
Other Digital,Value,2018,19.83957487
Other Digital,Value,2019,21.51717501
Other Tapes,Value,1973,15.6
Other Tapes,Value,1974,13.3
Other Tapes,Value,1975,10.2
Other Tapes,Value,1976,5.1
Other Tapes,Value,1977,
Other Tapes,Value,1978,
Other Tapes,Value,1979,
Other Tapes,Value,1980,
Other Tapes,Value,1981,
Other Tapes,Value,1982,
Other Tapes,Value,1983,
Other Tapes,Value,1984,
Other Tapes,Value,1985,
Other Tapes,Value,1986,
Other Tapes,Value,1987,
Other Tapes,Value,1988,
Other Tapes,Value,1989,
Other Tapes,Value,1990,
Other Tapes,Value,1991,
Other Tapes,Value,1992,
Other Tapes,Value,1993,
Other Tapes,Value,1994,
Other Tapes,Value,1995,
Other Tapes,Value,1996,
Other Tapes,Value,1997,
Other Tapes,Value,1998,
Other Tapes,Value,1999,
Other Tapes,Value,2000,
Other Tapes,Value,2001,
Other Tapes,Value,2002,
Other Tapes,Value,2003,
Other Tapes,Value,2004,
Other Tapes,Value,2005,
Other Tapes,Value,2006,
Other Tapes,Value,2007,
Other Tapes,Value,2008,
Other Tapes,Value,2009,
Other Tapes,Value,2010,
Other Tapes,Value,2011,
Other Tapes,Value,2012,
Other Tapes,Value,2013,
Other Tapes,Value,2014,
Other Tapes,Value,2015,
Other Tapes,Value,2016,
Other Tapes,Value,2017,
Other Tapes,Value,2018,
Other Tapes,Value,2019,
Paid Subscription,Value,1973,
Paid Subscription,Value,1974,
Paid Subscription,Value,1975,
Paid Subscription,Value,1976,
Paid Subscription,Value,1977,
Paid Subscription,Value,1978,
Paid Subscription,Value,1979,
Paid Subscription,Value,1980,
Paid Subscription,Value,1981,
Paid Subscription,Value,1982,
Paid Subscription,Value,1983,
Paid Subscription,Value,1984,
Paid Subscription,Value,1985,
Paid Subscription,Value,1986,
Paid Subscription,Value,1987,
Paid Subscription,Value,1988,
Paid Subscription,Value,1989,
Paid Subscription,Value,1990,
Paid Subscription,Value,1991,
Paid Subscription,Value,1992,
Paid Subscription,Value,1993,
Paid Subscription,Value,1994,
Paid Subscription,Value,1995,
Paid Subscription,Value,1996,
Paid Subscription,Value,1997,
Paid Subscription,Value,1998,
Paid Subscription,Value,1999,
Paid Subscription,Value,2000,
Paid Subscription,Value,2001,
Paid Subscription,Value,2002,
Paid Subscription,Value,2003,
Paid Subscription,Value,2004,
Paid Subscription,Value,2005,149.2
Paid Subscription,Value,2006,206.2
Paid Subscription,Value,2007,234
Paid Subscription,Value,2008,221.4
Paid Subscription,Value,2009,206.2
Paid Subscription,Value,2010,212.4
Paid Subscription,Value,2011,247.8
Paid Subscription,Value,2012,399.8825311
Paid Subscription,Value,2013,643.3242888
Paid Subscription,Value,2014,770.2705591
Paid Subscription,Value,2015,"1,156.71"
Paid Subscription,Value,2016,"2,244.15"
Paid Subscription,Value,2017,"3,500.55"
Paid Subscription,Value,2018,"4,655.97"
Paid Subscription,Value,2019,"5,934.40"
Ringtones & Ringbacks,Value,1973,
Ringtones & Ringbacks,Value,1974,
Ringtones & Ringbacks,Value,1975,
Ringtones & Ringbacks,Value,1976,
Ringtones & Ringbacks,Value,1977,
Ringtones & Ringbacks,Value,1978,
Ringtones & Ringbacks,Value,1979,
Ringtones & Ringbacks,Value,1980,
Ringtones & Ringbacks,Value,1981,
Ringtones & Ringbacks,Value,1982,
Ringtones & Ringbacks,Value,1983,
Ringtones & Ringbacks,Value,1984,
Ringtones & Ringbacks,Value,1985,
Ringtones & Ringbacks,Value,1986,
Ringtones & Ringbacks,Value,1987,
Ringtones & Ringbacks,Value,1988,
Ringtones & Ringbacks,Value,1989,
Ringtones & Ringbacks,Value,1990,
Ringtones & Ringbacks,Value,1991,
Ringtones & Ringbacks,Value,1992,
Ringtones & Ringbacks,Value,1993,
Ringtones & Ringbacks,Value,1994,
Ringtones & Ringbacks,Value,1995,
Ringtones & Ringbacks,Value,1996,
Ringtones & Ringbacks,Value,1997,
Ringtones & Ringbacks,Value,1998,
Ringtones & Ringbacks,Value,1999,
Ringtones & Ringbacks,Value,2000,
Ringtones & Ringbacks,Value,2001,
Ringtones & Ringbacks,Value,2002,
Ringtones & Ringbacks,Value,2003,
Ringtones & Ringbacks,Value,2004,
Ringtones & Ringbacks,Value,2005,421.6
Ringtones & Ringbacks,Value,2006,773.8
Ringtones & Ringbacks,Value,2007,"1,055.80"
Ringtones & Ringbacks,Value,2008,977.1
Ringtones & Ringbacks,Value,2009,702.8
Ringtones & Ringbacks,Value,2010,448
Ringtones & Ringbacks,Value,2011,276.2
Ringtones & Ringbacks,Value,2012,145.9929351
Ringtones & Ringbacks,Value,2013,97.99961233
Ringtones & Ringbacks,Value,2014,66.31137067
Ringtones & Ringbacks,Value,2015,54.58202422
Ringtones & Ringbacks,Value,2016,56.32529913
Ringtones & Ringbacks,Value,2017,35.51373565
Ringtones & Ringbacks,Value,2018,24.9578598
Ringtones & Ringbacks,Value,2019,21.4267369
SACD,Value,1973,
SACD,Value,1974,
